ID,RID,CHOICE,N_TASKS,train,test,C1,TT1,IMG1,IMG_YEAR1,IMG_MONTH1,IMG_LAT1,IMG_LNG1,ANGLE_FROM_NORTH_IMG1,C2,TT2,IMG2,IMG_YEAR2,IMG_MONTH2,IMG_LAT2,IMG_LNG2,ANGLE_FROM_NORTH_IMG2,AGE,GENDER,MODE,TT_CAT,TR_DAYS,IMP_IMG,IMP_HHC,IMP_TTI,NGBH_SC,HOUSE_TYPE,HH_COMP,REGION
0,28,1,14,1,0,150,10,8ko0Vel43aJBDl-48NkKqwb.png,2021,12,52.27533922,4.636060926,219.526,75,-5,NzTUsodonxIW9aDoc4LD8wa.png,2020,6,52.40768148,5.299636247,54.193,4,2,3,4,3,8,8,8,2,2,3,West
1,28,2,14,1,0,-150,0,brfU3hevN7QoMJNJrd3nYga.png,2019,7,52.37909358,4.811757996,18.665,0,15,O2fOl9viuzws77qCWtEs-Ab.png,2021,9,52.30813361,4.956071616,149.457,4,2,3,4,3,8,8,8,2,2,3,West
2,28,2,14,1,0,-150,-5,4pfnuxZtXpA5RdssV_5p9Aa.png,2021,11,51.48149168,3.64227792,-43.538,75,5,nhe65eyYK0iMexfhQvYXkQa.png,2022,3,52.35649687,5.989611181,89.97,4,2,3,4,3,8,8,8,2,2,3,West
3,28,1,14,1,0,0,15,u-DtLjThHebnh2l16UleVga.png,2020,8,52.62511785,6.040069942,72.825,-225,0,Ck8BQpQ_yT75Zf8_gMrXIAa.png,2021,4,52.0012557,6.120890423,84.354,4,2,3,4,3,8,8,8,2,2,3,West
4,28,2,14,1,0,-225,-10,aqP5K-C2LdxZiNKLvsuHjAb.png,2019,3,52.72868503,4.961195784,251.6,75,0,b29mzAI1hOJE7Jq325Onzga.png,2020,9,51.20725542,6.006977148,57.639,4,2,3,4,3,8,8,8,2,2,3,West
5,28,2,14,1,0,-150,-10,o8ePdQIwzX6y7o0i4UmBOQb.png,2020,6,52.3809078,4.855709409,221.32,0,15,cZBI0ohrlMcrAvBgd0bZUAb.png,2022,3,52.20942772,6.872406188,251.571,4,2,3,4,3,8,8,8,2,2,3,West
6,28,1,14,1,0,0,0,IZT7zXRgx2rq76h2zmIeiAb.png,2021,7,52.43461426,5.000153632,148.419,-150,10,hVlkyLaf8yxdwPWMwVnzaAb.png,2020,7,53.19103157,5.788157139,221.767,4,2,3,4,3,8,8,8,2,2,3,West
7,28,2,14,1,0,-225,-10,6NxaOQXOBwJKpHQTnI5Eogb.png,2020,7,52.31043912,4.960474257,239.832,-75,15,tzlwnUZBxbreDqg3zJ1p6Aa.png,2021,6,51.18893408,5.986663117,-12.703,4,2,3,4,3,8,8,8,2,2,3,West
8,28,2,14,1,0,150,0,zj5TDpJQTZMQ8PUaYeDu9gb.png,2019,4,51.24447588,5.666650624,142.023,75,5,fTxSPVIu3rj13fTE5Ulb-Qb.png,2021,8,51.8359389,5.893370609,194.02,4,2,3,4,3,8,8,8,2,2,3,West
10,28,2,14,0,1,-75,-10,6KIEi-C4dOGB6xWT_ZpRNgb.png,2022,4,51.66327911,4.095182798,202.926,75,0,Jqc0wrtzfrqDc5R4OFWhHwb.png,2019,3,51.63917259,5.229750902,219.509,4,2,3,4,3,8,8,8,2,2,3,West
