ID,RID,SEQ,CHOICE,C1,TT1,IMG1,IMG_LAT1,IMG_LNG1,ANGLE_FROM_NORTH_IMG1,IMG_YEAR1,IMG_MONTH1,C2,TT2,IMG2,IMG_LAT2,IMG_LNG2,ANGLE_FROM_NORTH_IMG2,IMG_YEAR2,IMG_MONTH2,AGE,GENDER,PROVINCE,POSTCODE,POSTCODE_L,MODE,CAT,TT_CAT,TR_DAYS,IMP_IMG,IMP_HHC,IMP_TTI,NGBH_SC,HOUSE_TYPE,HH_COMP,HH_COST,train,test,nontrader_C
0,28,1,1,150,10,8ko0Vel43aJBDl-48NkKqwb.png,52.27533922,4.636060926,219.526,2021,12,75,-5,NzTUsodonxIW9aDoc4LD8wa.png,52.40768148,5.299636247,54.193,2020,6,4,2,8,1946,a,3,4,4,3,8,8,8,2,2,3,1,1,0,0
1,28,2,2,-150,0,brfU3hevN7QoMJNJrd3nYga.png,52.37909358,4.811757996,18.665,2019,7,0,15,O2fOl9viuzws77qCWtEs-Ab.png,52.30813361,4.956071616,149.457,2021,9,4,2,8,1946,a,3,4,4,3,8,8,8,2,2,3,1,1,0,0
2,28,3,2,-150,-5,4pfnuxZtXpA5RdssV_5p9Aa.png,51.48149168,3.64227792,-43.538,2021,11,75,5,nhe65eyYK0iMexfhQvYXkQa.png,52.35649687,5.989611181,89.97,2022,3,4,2,8,1946,a,3,4,4,3,8,8,8,2,2,3,1,1,0,0
3,28,4,1,0,15,u-DtLjThHebnh2l16UleVga.png,52.62511785,6.040069942,72.825,2020,8,-225,0,Ck8BQpQ_yT75Zf8_gMrXIAa.png,52.0012557,6.120890423,84.354,2021,4,4,2,8,1946,a,3,4,4,3,8,8,8,2,2,3,1,1,0,0
4,28,5,2,-225,-10,aqP5K-C2LdxZiNKLvsuHjAb.png,52.72868503,4.961195784,251.6,2019,3,75,0,b29mzAI1hOJE7Jq325Onzga.png,51.20725542,6.006977148,57.639,2020,9,4,2,8,1946,a,3,4,4,3,8,8,8,2,2,3,1,1,0,0
5,28,6,2,-150,-10,o8ePdQIwzX6y7o0i4UmBOQb.png,52.3809078,4.855709409,221.32,2020,6,0,15,cZBI0ohrlMcrAvBgd0bZUAb.png,52.20942772,6.872406188,251.571,2022,3,4,2,8,1946,a,3,4,4,3,8,8,8,2,2,3,1,1,0,0
6,28,7,1,0,0,IZT7zXRgx2rq76h2zmIeiAb.png,52.43461426,5.000153632,148.419,2021,7,-150,10,hVlkyLaf8yxdwPWMwVnzaAb.png,53.19103157,5.788157139,221.767,2020,7,4,2,8,1946,a,3,4,4,3,8,8,8,2,2,3,1,1,0,0
7,28,8,2,-225,-10,6NxaOQXOBwJKpHQTnI5Eogb.png,52.31043912,4.960474257,239.832,2020,7,-75,15,tzlwnUZBxbreDqg3zJ1p6Aa.png,51.18893408,5.986663117,-12.703,2021,6,4,2,8,1946,a,3,4,4,3,8,8,8,2,2,3,1,1,0,0
8,28,9,2,150,0,zj5TDpJQTZMQ8PUaYeDu9gb.png,51.24447588,5.666650624,142.023,2019,4,75,5,fTxSPVIu3rj13fTE5Ulb-Qb.png,51.8359389,5.893370609,194.02,2021,8,4,2,8,1946,a,3,4,4,3,8,8,8,2,2,3,1,1,0,0
9,28,10,1,0,-5,ixt4ifK05r_9M-rxbb4UqQb.png,52.36857042,4.868048933,249.837,2021,3,225,-10,MeXM0j99XewBzXs5oFNMFgb.png,51.48726752,5.464473466,191.168,2020,9,4,2,8,1946,a,3,4,4,3,8,8,8,2,2,3,1,0,0,0
